text,label
verify your account immediately,1
enter otp now,1
your bank account is suspended,1
click here to login,1
urgent update your details,1
unauthorized transaction detected,1
confirm your identity now,1
security alert verify account,1
provide card details immediately,1
account will be blocked in 24 hours,1
update your kyc immediately,1
your debit card is blocked,1
click link to unlock account,1
enter pin to continue,1
bank account verification required,1
payment failed update details,1
login to secure your account,1
your account is at risk,1
reset your password now,1
verify your mobile number now,1
enter your cvv and otp,1
bank alert immediate action required,1
your wallet is locked verify now,1
confirm your transaction now,1
urgent security notification,1

hello how are you,0
let's meet tomorrow,0
good morning,0
this is normal message,0
see you at 5pm,0
happy birthday,0
call me when free,0
meeting scheduled at 3pm,0
project discussion tomorrow,0
thank you for your help,0
please send the report,0
let's go for lunch,0
how was your day,0
i will call you later,0
see you soon,0
good evening,0
have a nice day,0
thanks for the update,0
meeting postponed,0
let's catch up soon,0
are you available now,0
please review this document,0
what's your plan today,0
talk to you later,0
hope you are doing well,0